"stt","mamh","tenmh","tenmh_en","sotc","lt","th","loaimonhoc","semester","is_open","management_unit","description","mamh_old","equivalent_mh","prerequisite_mh","previous_mh"
"4","SS009","Chủ nghĩa xã hội khoa học","Scientific Socialism","2","2","0","LLCT","5.0","True","PĐTĐH","Môn học trang bị cho sinh viên những kiến thức cơ bản về Chủ nghĩa xã hội khoa học","","","",""
"145","CE313","Xử lý song song và hệ thống phân tán","Parallel Processing and Distributed Systems","3","3","0","CN","","True","KTMT","Môn học này trình bày các khái niệm và phương pháp xây dựng hệ thống xử lí song song và hệ thống phân bố","","","","IT001
IT006"
"7","MA006","Giải tích","Calculus","4","4","0","ĐC","1.0","True","BMTL","Môn Giải tích là môn học ở giai đoạn kiến thức đại cương, là môn học bắt buộc đối với tất cả sinh viên. Môn học này giúp cho SV có kiến thức cơ bản về phép tính vi phân hàm nhiều biến; phép tính tích phân hàm nhiều biến (tích phân bội); tích phân đường, tích phân mặt; cũng như là kỹ năng khảo sát chuỗi số, chuỗi hàm, tích phân suy rộng,…cùng với việc nhận dạng và giải quyết một số phương trình vi phân cấp một, cấp cao,…để từ đó SV có thể tiếp tục học tập những môn chuyên ngành, hay phục vụ cho quá trình làm khóa luận tốt nghiệp.","","","",""
"16","IT002","Lập trình hướng đối tượng","Object-Oriented Programming","4","3","1","CSNN","2.0","True","CNPM","Môn học trang bị cho sinh viên kiến thức và kỹ năng về lập trình hướng đối tượng, các nguyên lý cơ bản của thiết kế hướng đối tượng, các vấn đề căn bản và một số vấn đề nâng cao trong việc cài đặt các lớp và phương thức. Các quan niệm nằm sau cây thừa kế, đa hình, các tính chất của đối tượng, thừa kế và phân lớp. Cách thức trao đổi và truyền thông giữa các đối tượng.","","","","IT001"
"18","IT004","Cơ sở dữ liệu","Databases","4","3","1","CSNN","3.0","True","HTTT","Môn học trình bày về sự cần thiết của cơ sở dữ liệu trong doanh nghiệp và trong các loại hình tổ chức khác. Cung cấp sự hiểu biết về nguyên lý của các hệ thống cơ sở dữ liệu, tập trung trên CSDL quan hệ (mô hình dữ liệu quan hệ, các ngôn ngữ truy vấn).
Sinh viên có khả năng sử dụng các kỹ thuật, công cụ để có thể thiết kế, thao tác với
một CSDL quan hệ thông qua hệ quản trị CSDL cụ thể (MS SQL Server), phục vụ cho nhiều môn học nâng cao về CSDL trong những học kỳ kế tiếp.","","","",""
"24","SE104","Nhập môn Công nghệ phần mềm","Introduction to Software Engineering","4","3","1","CSN","4.0","True","CNPM","Môn học này nhằm cung cấp cho các sinh viên các kiến thức cơ sở liên quan đến các đối tượng chính yếu trong lĩnh vực công nghệ phần mềm (qui trình công nghệ, phương pháp kỹ thuật thực hiện, phương pháp tổ chức quản lý, công cụ và môi trường triển khai phần mềm, …). Giúp sinh viên hiểu và biết tiến hành xây dựng phần mềm một cách có hệ thống, có phương pháp. Trong quá trình học, sinh viên sẽ được giới thiệu nhiều phương pháp khác nhau để có được góc nhìn tổng quan về các phương pháp. Và để minh họa cụ thể hơn, phương pháp OMT (Object Modeling Technique) được chọn để trình bày (với một sự lược giản để thích hợp với tính chất nhập môn của môn học).","","","","IT002
IT004"
"75","SE502","Thực tập","Internship","2","2","0","TTTN","6.0","True","CNPM","","","","",""
"6","SS006","Pháp luật đại cương","Introduction to Law","2","2","0","ĐC","6.0","True","P.ĐTĐH","Môn học nằm trong khối kiến thức đại cương trong chương trình đào tạo. Môn học hướng đến việc trang bị những kiến thức nền tảng về nhà nước và pháp luật cho người học. Qua đó, người học có những kiến thức cơ bản về nhà nước và pháp luật hướng đến việc hình thành kỹ năng sống và thái độ sống chuẩn mực theo hiến pháp và pháp luật.","","","",""
"77","ACCT3603","Hệ thống thông tin kế toán","Accounting Information Systems","3","3","0","CN","","True","HTTT","Trình bày các kiến thức về công tác kế toán, chu trình nghiệp vụ kế toán, tố chức và xây dựng hệ thống thông tin kế toán, thiết kế và tin học hóa công tác kế toán.","","","",""
"78","ACCT5123","Hoạch định nguồn lực doanh nghiệp","Enterprise Resource Planning","3","3","0","CSN","","True","HTTT","Cung cấp cho sinh viên các kiến thức về một hệ thống quản lý nguồn lực ERP trong một tổ chức và nhiệm vụ đầy thách thức của quản lý HTTT (IS). Các thành phần chính của ERP cũng được giới thiệu trong môn học này. Thông qua đó, sinh viên có thể nhận thấy được tầm quan trọng của ERP, điều kiện để triển khai về nền tảng công nghệ cũng như về qui mô và phạm vi hoạt động của các tổ chức/doanh nghiệp. Sinh viên được thực hành các hệ thống SAP, ECC, Odo. SAP là nhà cung cấp hàng đầu thế giới của các doanh nghiệp phần mềm được thiết kế để tích hợp tất cả các khía cạnh của hoạt động của công ty, giúp các công ty sử dụng công nghệ để duy trì lợi thế cạnh tranh của họ trên thị trường.","","","",""
