"id","repo_name","description","github_url","tech_stack","subject_id","display_name","primary_language","is_active","course_id","stars"
"1","DSA-W4-18052023","Repository cho các bài tập môn Cấu trúc dữ liệu và giải thuật - phần Cây của thầy Trần Doãn Thuyên","https://github.com/UIT-KTPM-2022-3-22521474/DSA-W4-18052023","","IT003","DSA-W4-18052023","C++","True","17","0"
"2","GizmoGlobe-Retailer_side","Repository cho nền tảng retailer cho phần báo cáo Đồ án 1 - Đồ án 2 - KLTN của sinh viên Tô Vĩnh Tiến & Đỗ Hồng Quân - KTPM2022 UIT.","https://github.com/GizmoGlobe-SE121-P11-UIT/GizmoGlobe-Retailer_side","","SE503","GizmoGlobe-Retailer_side","Dart","True","1070","1"
"3","GizmoGlobe-Client_side","Repository cho nền tảng client cho phần báo cáo Đồ án 1 - Đồ án 2 - KLTN của sinh viên Tô Vĩnh Tiến & Đỗ Hồng Quân - KTPM2022 UIT.","https://github.com/GizmoGlobe-SE121-P11-UIT/GizmoGlobe-Client_side","","SE503","GizmoGlobe-Client_side","Dart","True","1070","1"
"4","NET-SE310.P12-MotorStore","Repository cho phần bài thực hành 2 - ASP.NET & MVC môn Công nghệ .NET - SE310.P12 của thầy Nguyễn Trịnh Đông và cô Huỳnh Hồ Thị Mộng Trinh","https://github.com/UIT-KTPM-2022-3-22521474/NET-SE310.P12-MotorStore","","SE310","NET-SE310.P12-MotorStore","CSS","True","42","0"
"5","Java-BaiTapChuong3","Repository cho phần bài tập chương 3 môn Ngôn ngữ lập trình Java - SE330.O21 của thầy Lê Thanh Trọng","https://github.com/UIT-KTPM-2022-3-22521474/Java-BaiTapChuong3","","SE330","Java-BaiTapChuong3","Java","True","34","0"
"6","NET-SE310.P12-Farm-Management","Repository cho phần bài tập 1 ADO.NET - Quản lý trang trại môn Công nghệ .NET - SE310.P12 của thầy Nguyễn Trịnh Đông và cô Huỳnh Hồ Thị Mộng Trinh","https://github.com/UIT-KTPM-2022-3-22521474/NET-SE310.P12-Farm-Management","","SE310","NET-SE310.P12-Farm-Management","C#","True","42","0"
"7","ProgMethods-SE334.P21-Recipe","Repository cho phần ứng dụng bài tập thực hành 2 - môn Các phương pháp lập trình - SE334.P21 của thầy Nguyễn Duy Khánh.","https://github.com/FiveM-UIT/ProgMethods-SE334.P21-Recipe","","SE334","ProgMethods-SE334.P21-Recipe","JavaScript","True","36","0"
"8","MobileProgramming-MoneyTracking","Repository cho đồ án ứng dụng quản lý chi tiêu - Money Tracking của môn Lập trình trên thiết bị di động - SE346.O21 của thầy Huỳnh Tuấn Anh","https://github.com/UIT-KTPM-2022-3-22521474/MobileProgramming-MoneyTracking","","SE346","MobileProgramming-MoneyTracking","","True","43","0"
"9","WebDev-SE347.P12-SSE","Repository cho phần bài tập SSE- môn Công nghệ Web và ứng dụng - SE347.P12 của thầy Nguyễn Tấn Toàn.","https://github.com/UIT-KTPM-2022-3-22521474/WebDev-SE347.P12-SSE","","SE347","WebDev-SE347.P12-SSE","JavaScript","True","37","0"
"10","WebDev-SE347.P12-Yahoo","Repository cho phần bài tập 1 môn Công nghệ Web và ứng dụng - SE347.P12 của thầy Nguyễn Tấn Toàn và thầy Lê Văn Tuấn.","https://github.com/UIT-KTPM-2022-3-22521474/WebDev-SE347.P12-Yahoo","","SE347","WebDev-SE347.P12-Yahoo","HTML","True","37","0"
